Row_ID;Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country;City;State;Postal_Code;Region;Product_ID;Category;Sub_Category;Product_Name;Sales;Quantity;Discount;Profit
68;CA-2011-106376;05/12/2011;10/12/2011;"Standard Class";BS-11590;"Brendan Sweed";Corporate;"United States";Gilbert;Arizona;85234;West;OFF-AR-10002671;"Office Supplies";Art;"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige";1113.024;8;0.3;111.3024
73;US-2012-134026;26/04/2012;02/05/2012;"Standard Class";JE-15745;"Joel Eaton";Consumer;"United States";Memphis;Tennessee;38109;South;FUR-CH-10000513;Furniture;Chairs;"High-Back Leather Manager's Chair";831.936;8;0.2;-114.3912
86;CA-2014-140088;29/05/2014;31/05/2014;"Second Class";PO-18865;"Patrick O'Donnell";Consumer;"United States";Columbia;"South Carolina";29203;South;FUR-CH-10000863;Furniture;Chairs;"Novimex Swivel Fabric Task Chair";301.96;2;0;33.2156
104;US-2012-156867;13/11/2012;17/11/2012;"Standard Class";LC-16870;"Lena Cacioppo";Consumer;"United States";Aurora;Colorado;80013;West;TEC-AC-10001552;Technology;Accessories;"Logitech K350 2.4Ghz Wireless Keyboard";238.896;6;0.2;-26.8758
110;CA-2012-129476;15/10/2012;20/10/2012;"Standard Class";PA-19060;"Pete Armstrong";"Home Office";"United States";"Orland Park";Illinois;60462;Central;TEC-AC-10000844;Technology;Accessories;"Logitech Gaming G510s - Keyboard";339.96;5;0.2;67.992
118;CA-2012-110457;02/03/2012;06/03/2012;"Standard Class";DK-13090;"Dave Kipp";Consumer;"United States";Seattle;Washington;98103;West;FUR-TA-10001768;Furniture;Tables;"Hon Racetrack Conference Tables";787.53;3;0;165.3813
125;US-2011-152030;26/12/2011;28/12/2011;"Second Class";AD-10180;"Alan Dominguez";"Home Office";"United States";Houston;Texas;77041;Central;FUR-CH-10004063;Furniture;Chairs;"Global Deluxe High-Back Manager's Chair";600.558;3;0.3;-8.5794
126;US-2011-134614;20/09/2011;25/09/2011;"Standard Class";PF-19165;"Philip Fox";Consumer;"United States";Bloomington;Illinois;61701;Central;FUR-TA-10004534;Furniture;Tables;"Bevis 44 x 96 Conference Tables";617.7;6;0.5;-407.682
128;US-2014-107272;06/11/2014;13/11/2014;"Standard Class";TS-21610;"Troy Staebel";Consumer;"United States";Phoenix;Arizona;85023;West;OFF-ST-10002974;"Office Supplies";Storage;"Trav-L-File Heavy-Duty Shuttle II, Black";243.992;7;0.3;30.499
130;US-2013-125969;07/11/2013;11/11/2013;"Second Class";LS-16975;"Lindsay Shagiari";"Home Office";"United States";"Los Angeles";California;90004;West;FUR-FU-10003773;Furniture;Furnishings;"Eldon Cleatmat Plus Chair Mats for High Pile Carpets";238.56;3;0;26.2416
145;CA-2014-155376;23/12/2014;28/12/2014;"Standard Class";SG-20080;"Sandra Glassco";Consumer;"United States";Independence;Missouri;64055;Central;OFF-AP-10001058;"Office Supplies";Appliances;"Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators";839.43;3;0.3;218.2518
146;CA-2012-110744;07/09/2012;12/09/2012;"Standard Class";HA-14920;"Helen Andreada";Consumer;"United States";Pasadena;California;91104;West;OFF-ST-10003656;"Office Supplies";Storage;"Safco Industrial Wire Shelving";671.93;7;0.3;20.1579
148;CA-2013-114489;06/12/2013;10/12/2013;"Standard Class";JE-16165;"Justin Ellison";Corporate;"United States";Franklin;Wisconsin;53132;Central;TEC-PH-10000215;Technology;Phones;"Plantronics Cordless Phone Headset with In-line Volume - M214C";384.45;11;0;103.8015
150;CA-2013-114489;06/12/2013;10/12/2013;"Standard Class";JE-16165;"Justin Ellison";Corporate;"United States";Franklin;Wisconsin;53132;Central;FUR-CH-10000454;Furniture;Chairs;"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back";1951.84;8;0;585.552
158;CA-2011-104269;01/03/2011;06/03/2011;"Second Class";DB-13060;"Dave Brooks";Consumer;"United States";Seattle;Washington;98115;West;FUR-CH-10004063;Furniture;Chairs;"Global Deluxe High-Back Manager's Chair";457.568;2;0.2;51.4764
160;CA-2013-114104;21/11/2013;25/11/2013;"Standard Class";NP-18670;"Nora Paige";Consumer;"United States";Edmond;Oklahoma;73034;Central;TEC-PH-10004536;Technology;Phones;"Avaya 5420 Digital phone";944.93;7;0;236.2325
166;CA-2011-139892;08/09/2011;12/09/2011;"Standard Class";BM-11140;"Becky Martin";Consumer;"United States";"San Antonio";Texas;78207;Central;TEC-MA-10000822;Technology;Machines;"Lexmark MX611dhe Monochrome Laser Printer";8159.952;8;0.4;-1359.992
167;CA-2011-139892;08/09/2011;12/09/2011;"Standard Class";BM-11140;"Becky Martin";Consumer;"United States";"San Antonio";Texas;78207;Central;OFF-ST-10000991;"Office Supplies";Storage;"Space Solutions HD Industrial Steel Shelving.";275.928;3;0.3;-58.6347
168;CA-2011-139892;08/09/2011;12/09/2011;"Standard Class";BM-11140;"Becky Martin";Consumer;"United States";"San Antonio";Texas;78207;Central;FUR-CH-10004287;Furniture;Chairs;"SAFCO Arco Folding Chair";1740.06;9;0.3;-24.858
174;CA-2011-118962;05/08/2011;09/08/2011;"Standard Class";CS-12130;"Chad Sievert";Consumer;"United States";"Los Angeles";California;90004;West;FUR-CH-10003817;Furniture;Chairs;"Global Value Steno Chair, Gray";340.144;7;0.2;21.259
178;US-2012-101511;21/11/2012;23/11/2012;"Second Class";JE-15745;"Joel Eaton";Consumer;"United States";Newark;Ohio;43055;East;FUR-CH-10004698;Furniture;Chairs;"Padded Folding Chairs, Black, 4/Carton";396.802;7;0.3;-11.3372
182;CA-2011-166191;05/12/2011;09/12/2011;"Second Class";DK-13150;"David Kendrick";Corporate;"United States";Decatur;Illinois;62521;Central;TEC-AC-10004659;Technology;Accessories;"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB";408.744;7;0.2;76.6395
183;CA-2011-158274;19/11/2011;24/11/2011;"Second Class";RM-19675;"Robert Marley";"Home Office";"United States";Monroe;Louisiana;71203;South;TEC-PH-10003273;Technology;Phones;"AT&T TR1909W";503.96;4;0;131.0296
190;CA-2012-102281;12/10/2012;14/10/2012;"First Class";MP-17470;"Mark Packer";"Home Office";"United States";"New York City";"New York";10035;East;FUR-BO-10002613;Furniture;Bookcases;"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors";899.136;4;0.2;112.392
193;CA-2012-102281;12/10/2012;14/10/2012;"First Class";MP-17470;"Mark Packer";"Home Office";"United States";"New York City";"New York";10035;East;FUR-BO-10002545;Furniture;Bookcases;"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors";626.352;3;0.2;46.9764
206;CA-2014-108329;10/12/2014;15/12/2014;"Standard Class";LE-16810;"Laurel Elliston";Consumer;"United States";Whittier;California;90604;West;TEC-PH-10001918;Technology;Phones;"Nortel Business Series Terminal T7208 Digital phone";444.768;4;0.2;44.4768
214;CA-2012-146262;02/01/2012;09/01/2012;"Standard Class";VW-21775;"Victoria Wilson";Corporate;"United States";Medina;Ohio;44256;East;FUR-BO-10004695;Furniture;Bookcases;"O'Sullivan 2-Door Barrister Bookcase in Odessa Pine";452.45;5;0.5;-244.323
216;CA-2012-146262;02/01/2012;09/01/2012;"Standard Class";VW-21775;"Victoria Wilson";Corporate;"United States";Medina;Ohio;44256;East;TEC-MA-10000864;Technology;Machines;"Cisco 9971 IP Video Phone Charcoal";1188;9;0.7;-950.4
219;CA-2013-130162;29/10/2013;02/11/2013;"Standard Class";JH-15910;"Jonathan Howell";Consumer;"United States";"Los Angeles";California;90032;West;TEC-PH-10002563;Technology;Phones;"Adtran 1202752G1";302.376;3;0.2;22.6782
224;CA-2012-169397;24/12/2012;27/12/2012;"First Class";JB-15925;"Joni Blumstein";Consumer;"United States";Dublin;Ohio;43017;East;TEC-MA-10001148;Technology;Machines;"Swingline SM12-08 MicroCut Jam Free Shredder";479.988;4;0.7;-383.9904
227;CA-2012-163055;09/08/2012;16/08/2012;"Standard Class";DS-13180;"David Smith";Corporate;"United States";Detroit;Michigan;48227;Central;FUR-TA-10003748;Furniture;Tables;"Bevis 36 x 72 Conference Tables";622.45;5;0;136.939
230;US-2012-145436;28/02/2012;04/03/2012;"Standard Class";VD-21670;"Valerie Dominguez";Consumer;"United States";Columbia;Tennessee;38401;South;FUR-CH-10004477;Furniture;Chairs;"Global Push Button Manager's Chair, Indigo";389.696;8;0.2;43.8408
233;US-2014-100930;08/04/2014;13/04/2014;"Standard Class";CS-12400;"Christopher Schild";"Home Office";"United States";Tampa;Florida;33614;South;FUR-TA-10003473;Furniture;Tables;"Bretford Rectangular Conference Table Tops";620.6145;3;0.45;-248.2458
235;US-2014-100930;08/04/2014;13/04/2014;"Standard Class";CS-12400;"Christopher Schild";"Home Office";"United States";Tampa;Florida;33614;South;FUR-FU-10004017;Furniture;Furnishings;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39" x 49"""";258.072;3;0.2;0
236;US-2014-100930;08/04/2014;13/04/2014;"Standard Class";CS-12400;"Christopher Schild";"Home Office";"United States";Tampa;Florida;33614;South;TEC-AC-10003832;Technology;Accessories;"Logitech P710e Mobile Speakerphone";617.976;3;0.2;-7.7247
239;CA-2013-157749;05/06/2013;10/06/2013;"Second Class";KL-16645;"Ken Lonsdale";Consumer;"United States";Chicago;Illinois;60610;Central;FUR-FU-10000576;Furniture;Furnishings;"Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base";419.68;5;0.6;-356.728
245;CA-2011-131926;01/06/2011;06/06/2011;"Second Class";DW-13480;"Dianna Wilson";"Home Office";"United States";Lakeville;Minnesota;55044;Central;FUR-CH-10004063;Furniture;Chairs;"Global Deluxe High-Back Manager's Chair";2001.86;7;0;580.5394
248;CA-2011-131926;01/06/2011;06/06/2011;"Second Class";DW-13480;"Dianna Wilson";"Home Office";"United States";Lakeville;Minnesota;55044;Central;OFF-AP-10002945;"Office Supplies";Appliances;"Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room";1503.25;5;0.3;496.0725
250;CA-2013-154739;11/12/2013;16/12/2013;"Second Class";LH-17155;"Logan Haushalter";Consumer;"United States";"San Francisco";California;94109;West;FUR-CH-10002965;Furniture;Chairs;"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black";321.568;2;0.2;28.1372
252;CA-2013-145625;12/09/2013;18/09/2013;"Standard Class";KC-16540;"Kelly Collister";Consumer;"United States";"San Diego";California;92037;West;TEC-AC-10003832;Technology;Accessories;"Logitech P710e Mobile Speakerphone";3347.37;13;0;636.0003
254;CA-2013-146941;11/12/2013;14/12/2013;"First Class";DL-13315;"Delfina Latchford";Consumer;"United States";"New York City";"New York";10024;East;OFF-EN-10003296;"Office Supplies";Envelopes;"Tyvek Side-Opening Peel & Seel Expanding Envelopes";361.92;4;0.3;162.864
258;US-2012-159982;28/11/2012;04/12/2012;"Standard Class";DR-12880;"Dan Reichenbach";Corporate;"United States";Chicago;Illinois;60623;Central;TEC-PH-10001580;Technology;Phones;"Logitech Mobile Speakerphone P710e - speaker phone";647.904;6;0.2;56.6916
263;US-2011-106992;19/09/2011;21/09/2011;"Second Class";SB-20290;"Sean Braxton";Corporate;"United States";Houston;Texas;77036;Central;TEC-MA-10000822;Technology;Machines;"Lexmark MX611dhe Monochrome Laser Printer";3059.982;3;0.4;-509.997
264;US-2011-106992;19/09/2011;21/09/2011;"Second Class";SB-20290;"Sean Braxton";Corporate;"United States";Houston;Texas;77036;Central;TEC-MA-10003353;Technology;Machines;"Xerox WorkCentre 6505DN Laser Multifunction Printer";2519.958;7;0.4;-251.9958
265;CA-2013-125318;07/06/2013;14/06/2013;"Standard Class";RC-19825;"Roy Collins";Consumer;"United States";Chicago;Illinois;60610;Central;TEC-PH-10001433;Technology;Phones;"Cisco Small Business SPA 502G VoIP phone";328.224;4;0.2;28.7196
271;CA-2014-163979;29/12/2014;03/01/2015;"Second Class";KH-16690;"Kristen Hastings";Corporate;"United States";"San Francisco";California;94110;West;OFF-ST-10003208;"Office Supplies";Storage;"Adjustable Depth Letter/Legal Cart";725.84;4;0.3;210.4936
282;US-2012-161991;26/09/2012;28/09/2012;"Second Class";SC-20725;"Steven Cartwright";Consumer;"United States";Houston;Texas;77070;Central;TEC-PH-10001760;Technology;Phones;"Bose SoundLink Bluetooth Speaker";1114.4;7;0.2;376.11
283;CA-2012-130890;02/11/2012;06/11/2012;"Standard Class";JO-15280;"Jas O'Carroll";Consumer;"United States";"Los Angeles";California;90004;West;FUR-TA-10002903;Furniture;Tables;"Bevis Round Bullnose 29" High Table Top"";1038.84;5;0.2;51.942
285;CA-2012-130883;26/09/2012;02/10/2012;"Standard Class";TB-21520;"Tracy Blumstein";Consumer;"United States";Portland;Oregon;97206;West;TEC-AC-10001956;Technology;Accessories;"Microsoft Arc Touch Mouse";239.8;5;0.2;47.96
287;CA-2013-112697;19/12/2013;21/12/2013;"Second Class";AH-10195;"Alan Haines";Corporate;"United States";Tamarac;Florida;33319;South;OFF-BI-10000778;"Office Supplies";Binders;"GBC VeloBinder Electric Binding Machine";254.058;7;0.3;-169.372
289;CA-2013-112697;19/12/2013;21/12/2013;"Second Class";AH-10195;"Alan Haines";Corporate;"United States";Tamarac;Florida;33319;South;OFF-SU-10000646;"Office Supplies";Supplies;"Premier Automatic Letter Opener";961.48;5;0.3;-204.3145
292;CA-2013-110772;21/11/2013;25/11/2013;"Second Class";NZ-18565;"Nick Zandusky";"Home Office";"United States";Columbus;Ohio;43229;East;TEC-AC-10002001;Technology;Accessories;"Logitech Wireless Gaming Headset G930";255.984;2;0.2;54.3966
294;CA-2011-111451;26/12/2011;28/12/2011;"First Class";KL-16555;"Kelly Lampkin";Corporate;"United States";"Colorado Springs";Colorado;80906;West;FUR-FU-10004091;Furniture;Furnishings;"Howard Miller 13" Diameter Goldtone Round Wall Clock"";300.416;8;0.2;78.8592
308;CA-2011-111003;01/06/2011;06/06/2011;"Standard Class";CR-12625;"Corey Roper";"Home Office";"United States";Lakewood;"New Jersey";8701;East;OFF-AR-10002135;"Office Supplies";Art;"Boston Heavy-Duty Trimline Electric Pencil Sharpeners";289.2;6;0.3;83.868
311;CA-2013-142902;13/09/2013;15/09/2013;"Second Class";BP-11185;"Ben Peterman";Corporate;"United States";Arvada;Colorado;80004;West;FUR-CH-10004086;Furniture;Chairs;"Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs";466.768;2;0.2;52.5114
319;CA-2011-164973;04/11/2011;09/11/2011;"Standard Class";NM-18445;"Nathan Mautz";"Home Office";"United States";"New York City";"New York";10024;East;TEC-MA-10002927;Technology;Machines;"Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier";3991.98;3;0;1995.99
320;CA-2011-164973;04/11/2011;09/11/2011;"Standard Class";NM-18445;"Nathan Mautz";"Home Office";"United States";"New York City";"New York";10024;East;TEC-PH-10004093;Technology;Phones;"Panasonic Kx-TS550";275.94;6;0;80.0226
321;CA-2011-164973;04/11/2011;09/11/2011;"Standard Class";NM-18445;"Nathan Mautz";"Home Office";"United States";"New York City";"New York";10024;East;TEC-AC-10000892;Technology;Accessories;"NETGEAR N750 Dual Band Wi-Fi Gigabit Router";360;4;0;129.6
324;CA-2013-162138;24/04/2013;28/04/2013;"Standard Class";GK-14620;"Grace Kelly";Corporate;"United States";Hesperia;California;92345;West;OFF-BI-10004593;"Office Supplies";Binders;"Ibico Laser Imprintable Binding System Covers";251.52;6;0.3;81.744
327;US-2013-141544;31/08/2013;02/09/2013;"First Class";PO-18850;"Patrick O'Brill";Consumer;"United States";Philadelphia;Pennsylvania;19143;East;TEC-PH-10003645;Technology;Phones;"Aastra 57i VoIP phone";290.898;3;0.4;-67.8762
329;US-2013-141544;31/08/2013;02/09/2013;"First Class";PO-18850;"Patrick O'Brill";Consumer;"United States";Philadelphia;Pennsylvania;19143;East;FUR-CH-10003312;Furniture;Chairs;"Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs";786.744;4;0.3;-258.5016
336;CA-2012-137946;01/09/2012;04/09/2012;"Second Class";DB-13615;"Doug Bickford";Consumer;"United States";"Los Angeles";California;90045;West;TEC-CO-10001449;Technology;Copiers;"Hewlett Packard LaserJet 3310 Copier";959.984;3;0.2;335.9944
339;CA-2011-129924;12/07/2011;17/07/2011;"Standard Class";AC-10420;"Alyssa Crouse";Corporate;"United States";"San Francisco";California;94122;West;FUR-TA-10004575;Furniture;Tables;"Hon 5100 Series Wood Tables";698.352;3;0.2;-17.4588
342;CA-2011-122336;13/04/2011;17/04/2011;"Second Class";JD-15895;"Jonathan Doherty";Corporate;"United States";Philadelphia;Pennsylvania;19140;East;OFF-BI-10003656;"Office Supplies";Binders;"Fellowes PB200 Plastic Comb Binding Machine";509.97;10;0.3;-407.976
354;CA-2013-129714;02/09/2013;04/09/2013;"First Class";AB-10060;"Adam Bellavance";"Home Office";"United States";"New York City";"New York";10009;East;OFF-BI-10004995;"Office Supplies";Binders;"GBC DocuBind P400 Electric Binding System";4355.168;4;0.3;1415.4296
355;CA-2013-138520;09/04/2013;14/04/2013;"Standard Class";JL-15505;"Jeremy Lonsdale";Consumer;"United States";"New York City";"New York";10035;East;FUR-BO-10002268;Furniture;Bookcases;"Sauder Barrister Bookcases";388.704;6;0.2;-4.8588
360;CA-2014-155698;09/03/2014;12/03/2014;"First Class";VB-21745;"Victoria Brennan";Corporate;"United States";Columbus;Georgia;31907;South;OFF-AP-10001124;"Office Supplies";Appliances;"Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection";647.84;8;0.3;168.4384
363;CA-2014-144904;26/09/2014;02/10/2014;"Standard Class";KW-16435;"Katrina Willman";Consumer;"United States";"New York City";"New York";10009;East;FUR-CH-10000785;Furniture;Chairs;"Global Ergonomic Managers Chair";488.646;3;0.1;86.8704
370;CA-2013-155516;22/10/2013;22/10/2013;"Same Day";MK-17905;"Michael Kennedy";Corporate;"United States";Manchester;Connecticut;6040;East;FUR-BO-10002545;Furniture;Bookcases;"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors";1043.92;4;0;271.4192
374;US-2011-119137;23/07/2011;27/07/2011;"Standard Class";AG-10900;"Arthur Gainer";Consumer;"United States";Tucson;Arizona;85705;West;TEC-AC-10003911;Technology;Accessories;"NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router";1023.936;8;0.2;179.1888
376;US-2011-119137;23/07/2011;27/07/2011;"Standard Class";AG-10900;"Arthur Gainer";Consumer;"United States";Tucson;Arizona;85705;West;TEC-AC-10002076;Technology;Accessories;"Microsoft Natural Keyboard Elite";479.04;10;0.2;-29.94
378;US-2014-134481;28/08/2014;02/09/2014;"Standard Class";AR-10405;"Allen Rosenblatt";Corporate;"United States";Franklin;Massachusetts;2038;East;FUR-TA-10004915;Furniture;Tables;"Office Impressions End Table, 20-1/2"H x 24""W x 20""D"";1488.424;7;0.3;-297.6848
385;US-2012-168935;27/11/2012;02/12/2012;"Standard Class";DO-13435;"Denny Ordway";Consumer;"United States";"Pembroke Pines";Florida;33024;South;FUR-TA-10000617;Furniture;Tables;"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal";375.4575;3;0.45;-157.0095
387;CA-2012-122756;03/12/2012;07/12/2012;"Standard Class";DK-13225;"Dean Katz";Corporate;"United States";Philadelphia;Pennsylvania;19140;East;TEC-MA-10001681;Technology;Machines;"Lexmark MarkNet N8150 Wireless Print Server";482.34;4;0.7;-337.638
392;US-2011-135972;21/09/2011;23/09/2011;"Second Class";JG-15115;"Jack Garza";Consumer;"United States";"Des Moines";Washington;98198;West;TEC-PH-10003012;Technology;Phones;"Nortel Meridian M3904 Professional Digital phone";246.384;2;0.2;27.7182
393;US-2011-135972;21/09/2011;23/09/2011;"Second Class";JG-15115;"Jack Garza";Consumer;"United States";"Des Moines";Washington;98198;West;TEC-CO-10002313;Technology;Copiers;"Canon PC1080F Personal Copier";1799.97;3;0;701.9883
400;CA-2013-108987;09/09/2013;11/09/2013;"Second Class";AG-10675;"Anna Gayman";Consumer;"United States";Houston;Texas;77036;Central;FUR-BO-10004834;Furniture;Bookcases;"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish";2396.2656;4;0.32;-317.1528
407;CA-2014-117457;09/12/2014;13/12/2014;"Standard Class";KH-16510;"Keith Herrera";Consumer;"United States";"San Francisco";California;94110;West;TEC-CO-10004115;Technology;Copiers;"Sharp AL-1530CS Digital Copier";1199.976;3;0.2;434.9913
409;CA-2014-117457;09/12/2014;13/12/2014;"Standard Class";KH-16510;"Keith Herrera";Consumer;"United States";"San Francisco";California;94110;West;FUR-TA-10002041;Furniture;Tables;"Bevis Round Conference Table Top, X-Base";1004.024;7;0.2;-112.9527
413;CA-2014-117457;09/12/2014;13/12/2014;"Standard Class";KH-16510;"Keith Herrera";Consumer;"United States";"San Francisco";California;94110;West;FUR-BO-10001972;Furniture;Bookcases;"O'Sullivan 4-Shelf Bookcase in Odessa Pine";1336.829;13;0.15;31.4548
416;CA-2014-142636;04/11/2014;08/11/2014;"Standard Class";KC-16675;"Kimberly Carter";Corporate;"United States";Seattle;Washington;98105;West;FUR-CH-10001891;Furniture;Chairs;"Global Deluxe Office Fabric Chairs";307.136;4;0.2;26.8744
418;CA-2013-148796;15/04/2013;19/04/2013;"Standard Class";PB-19150;"Philip Brown";Consumer;"United States";"Los Angeles";California;90004;West;FUR-CH-10004886;Furniture;Chairs;"Bevis Steel Folding Chairs";383.8;5;0.2;38.38
425;CA-2014-155705;22/08/2014;24/08/2014;"Second Class";NF-18385;"Natalie Fritzler";Consumer;"United States";Jackson;Mississippi;39212;South;FUR-CH-10000015;Furniture;Chairs;"Hon Multipurpose Stacking Arm Chairs";866.4;4;0;225.264
427;CA-2014-149160;24/11/2014;27/11/2014;"Second Class";JM-15265;"Janet Molinari";Corporate;"United States";Canton;Michigan;48187;Central;OFF-BI-10001543;"Office Supplies";Binders;"GBC VeloBinder Manual Binding System";287.92;8;0.3;138.2016
431;US-2013-123750;16/04/2013;22/04/2013;"Standard Class";RB-19795;"Ross Baird";"Home Office";"United States";Gastonia;"North Carolina";28052;South;TEC-AC-10004659;Technology;Accessories;"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB";408.744;7;0.2;76.6395
432;US-2013-123750;16/04/2013;22/04/2013;"Standard Class";RB-19795;"Ross Baird";"Home Office";"United States";Gastonia;"North Carolina";28052;South;TEC-AC-10004659;Technology;Accessories;"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB";291.96;5;0.2;54.7425
434;CA-2013-127369;07/06/2013;08/06/2013;"First Class";DB-13060;"Dave Brooks";Consumer;"United States";Lowell;Massachusetts;1852;East;OFF-ST-10003306;"Office Supplies";Storage;"Letter Size Cart";714.3;5;0.3;207.147
436;US-2011-150574;19/12/2011;25/12/2011;"Standard Class";MK-18160;"Mike Kennedy";Consumer;"United States";Jacksonville;Florida;32216;South;TEC-AC-10002600;Technology;Accessories;"Belkin QODE FastFit Bluetooth Keyboard";247.8;5;0.2;-18.585
437;CA-2013-147375;13/06/2013;15/06/2013;"Second Class";PO-19180;"Philisse Overcash";"Home Office";"United States";Chicago;Illinois;60623;Central;TEC-MA-10002937;Technology;Machines;"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner";1007.979;3;0.3;43.1991
